OBJECTID,CREATION_DT,RECORDATION_DT,NARRATIVE,EXPIRATION_DT,STATUS,SQUARE,SUFFIX,LOT,LOT_TYPE,COMPUTED_AREA_SF,SURVEYED_AREA_SF,MAR_ID,IS_REAR_OF,BLDG_NUM,BLDG_NUM_EXT,BLDG_NUM_END_RANGE,BLDG_EXT_END_RANGE,QUADRANT,ZIP5,ZIP4,RECORD_AREA_SF,CONV_TOLERANCE_TYPE,CONV_TOLERANCE_VALUE,CONV_TOLERANCE_RESOLUTION,RECORDLOTSPLYID,PARCELSPLYID,SQUAREPLYID,OF_LOT_SEQ,BOOK_NUM,PAGE_NUM,UNDERLIES_CONDO,CONDO_BOOK_NUM,CONDO_PAGE_NUM,KILL_DT,SSL,COL,CONDOLOT,CONDO_REGIME_NUM,AREA,LEN,SHAPE_Length,SHAPE_Area
3852620,2010/06/15 00:00:00+00,1984/03/09 00:00:00+00,SEE CONDO BOOK 33 PAGE 18 (CONDOS 2041 - 254) KILLED TAX LOT 843 ON 5/24/1984.,,2,2540,,0843,2,4000,,,,,,,,,,,4041,1,,,,,,,3692,C,1,33,18,1984/05/24 00:00:00+00,2540    0843,N,Y,1128,,,109.845334236205,614.820713967018
3852621,2010/06/21 00:00:00+00,,"SEE CONDO BOOK 28, PAGE 4 (CONDOS 2025 - 2046) KILLED TAX LOT 809 ON 9/21/1981.",,2,2554,,0809,2,6000,,,,,,,,,,,6000,,,,,,,,*,913,1,28,4,1981/09/21 00:00:00+00,2554    0809,N,Y,1184,,,133.409114552327,922.220692020806
3852622,2010/06/21 00:00:00+00,,"SEE CONDO BOOK 23, PAGE 22 (CONDOS 2011 - 2024) KILLED TAX LOT 811 ON 3/14/1980.",,2,2554,,0811,2,7200,,,,,,,,,,,7200,,,,,,,,3476,X,1,23,22,1980/03/14 00:00:00+00,2554    0811,N,Y,1183,,,141.234915939208,1106.67518056621
3852623,2010/06/22 00:00:00+00,2005/03/28 00:00:00+00,SEE CONDO BOOK 55 PAGE 14 (CONDOS 2037 - 2038) KILLED TAX LOT 810 ON 10/26/2005.,,2,2837,,0810,2,951,,,,,,,,,,,950,,,,,,,,3818,O,1,55,14,2005/10/26 00:00:00+00,2837    0810,N,Y,1664,,,53.0091399735622,146.240257664503
3852624,2010/06/22 00:00:00+00,2005/03/28 00:00:00+00,SEE CONDO BOOK 55 PAGE 14 (CONDOS 2035 - 2036) KILLED TAX LOT 811 ON 10/26/2005.,,2,2837,,0811,2,952,,,,,,,,,,,950,,,,,,,,3818,O,1,55,14,2005/10/26 00:00:00+00,2837    0811,N,Y,1664,,,53.0346660390085,146.341209715589
3852625,2010/06/22 00:00:00+00,2005/03/28 00:00:00+00,SEE CONDO BOOK 55 PAGE 14 (CONDOS 2033 - 2034) KILLED TAX LOT 812 ON 10/26/2005.,,2,2837,,0812,2,952,,,,,,,,,,,950,,,,,,,,3818,O,1,55,14,2005/10/26 00:00:00+00,2837    0812,N,Y,1664,,,53.0581591753185,146.429183573187
3852626,2010/06/22 00:00:00+00,2005/03/28 00:00:00+00,SEE CONDO BOOK 55 PAGE 14 (CONDOS 2031 - 2032) KILLED TAX LOT 813 ON 10/26/2005.,,2,2837,,0813,2,953,,,,,,,,,,,950,,,,,,,,3818,O,1,55,14,2005/10/26 00:00:00+00,2837    0813,N,Y,1664,,,53.0836358307696,146.529436419889
3852627,2010/06/22 00:00:00+00,2005/03/28 00:00:00+00,SEE CONDO BOOK 55 PAGE 14 (CONDOS 2029 - 2030) KILLED TAX LOT 814 ON 10/26/2005.,,2,2837,,0814,2,954,,,,,,,,,,,950,,,,,,,,3818,O,1,55,14,2005/10/26 00:00:00+00,2837    0814,N,Y,1664,,,53.1105933243599,146.63753947178
3852628,2010/06/22 00:00:00+00,2005/03/28 00:00:00+00,SEE CONDO BOOK 55 PAGE 14 (CONDOS 2027 - 2028) KILLED TAX LOT 815 ON 10/26/2005.,,2,2837,,0815,2,954,,,,,,,,,,,950,,,,,,,,3818,O,1,55,14,2005/10/26 00:00:00+00,2837    0815,N,Y,1664,,,53.1361192869482,146.737778472106
3852629,2010/06/21 00:00:00+00,1984/06/14 00:00:00+00,"SEE CONDO BOOK 33, PAGE 9 (CONDOS 2001 - 2012) KILLED TAX LOT 846 ON 7/11/1984.",,2,2589,,0846,2,7762,,,,,,,,,,,7703,,,,,,,,*,3706,1,33,9,1984/07/11 00:00:00+00,2589    0846,N,Y,1218,,,144.817755775451,1193.45453529908
